"Product activation key","Produktaktivierungsschlüssel"
"Enter Novalnet Product activation key","Novalnet-Aktivierungsschlüssel für das Produkt eingeben"
"Novalnet Global Configuration","Novalnet: Zentrale Einstellungen"
"Novalnet Merchant ID","Händler-ID"
"Authentication code","Authentifizierungscode"
"Project ID","Projekt-ID"
"Select Tariff ID","Auswahl der Tarif-ID"
"Select Novalnet tariff ID","Novalnet-Tarif-ID auswählen."
"Subscription Tariff ID","Tarif-ID des Abonnements"
"Select Novalnet subscription tariff ID","Novalnet-Abonnements-Tarif-ID auswählen"
"Payment access key","Zahlungs-Zugriffsschlüssel"
"payment_action_description","Wählen Sie, ob die Zahlung sofort belastet werden soll oder nicht. Zahlung einziehen: Betrag sofort belasten. Zahlung autorisieren: Die Zahlung wird überprüft und autorisiert, aber erst zu einem späteren Zeitpunkt belastet. So haben Sie Zeit, über die Bestellung zu entscheiden."
"one_click_payment_description","Zahlungsdaten, die während des Bestellvorgangs gespeichert werden, können für zukünftige Zahlungen verwendet werden"
"Status to be used for successful orders","Wählen Sie, welcher Status für erfolgreich abgeschlossene Bestellungen verwendet wird"
"Minimum transaction amount for authorization","Mindesttransaktionsbetrag für die Autorisierung (in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1.00 EUR)"
"Manual checking of order description","Übersteigt der Bestellbetrag das genannte Limit, wird die Transaktion, bis zu ihrer Bestätigung durch Sie, auf on hold gesetzt. Sie können das Feld leer lassen, wenn Sie möchten, dass alle Transaktionen als on hold behandelt werden."
"Manual checking of paypal order description","Falls der Bestellbetrag das angegebene Limit übersteigt, wird die Transaktion ausgesetzt, bis Sie diese selbst bestätigen. Um diese Option zu verwenden, müssen Sie die Option Billing Agreement (Zahlungsvereinbarung) in Ihrem PayPal-Konto aktiviert haben. Kontaktieren Sie dazu bitte Ihren Kundenbetreuer bei PayPal."
"Novalnet Live Mode","Live-Modus aktivieren"
"Selected payment methods will be in Live Mode","Für ausgewählten Zahlungsarten wird der Live-Modus gesetzt"
"Referrer ID","Partner-ID"
"Referrer id description","Geben Sie die Partner-ID der Person / des Unternehmens ein, welche / welches Ihnen Novalnet empfohlen hat."
"Enable auto-fill","Automatisches Eintragen aktivieren"
"Autofill description","Die Zahlungsdetails werden automatisch während des Checkout-Vorgangs in das Zahlungsformular eingetragen."
"Enable default payment method","Default-Zahlungsart aktivieren."
"Payment last success description","Für registrierte Benutzer wird die letzte ausgewählte Zahlungsart als Standardeinstellung beim Checkout ausgewählt."
"Novalnet Use Proxy","Proxy-Server"
"Proxy Host","Host des Proxyservers"
"Proxy Port","Port des Proxyservers"
"Onhold order status","On-hold-Bestellstatus"
"OnHold cancellation / VOID Transaction status","Bestellstatus für Stornierung"
"Gateway timeout","Zeitlimit der Schnittstelle (in Sekunden)"
"Gateway timeout description","Falls die Verarbeitungszeit der Bestellung das Zeitlimit der Schnittstelle überschreitet, wird die Bestellung nicht ausgeführt."
"Display payment method logo","Logo der Zahlungsart anzeigen"
"The payment method logo will be displayed on the checkout page","Das Logo der Zahlungsart wird auf der Checkout-Seite angezeigt."
"Merchant script management","Verwaltung des Händlerskripts"
"Deactivate IP address control description","Diese Option ermöglicht eine manuelle Ausführung. Bitte deaktivieren Sie diese Option, bevor Sie Ihren Shop in den LIVE-Modus schalten, um nicht autorisierte Zugriffe von externen Parteien (außer von Novalnet) zu vermeiden."
"Test mode description","Die Zahlung wird im Testmodus durchgeführt, daher wird der Betrag für diese Transaktion nicht eingezogen."
"Callback order status","Callback / Webhook Bestellstatus"
"Enable E-mail notification for callback","Email-Benachrichtigung für Callback aktivieren"
"Email To address description","Emailadresse des Empfängers"
"E-mail Bcc Address","Emailadresse (Bcc)"
"Email Bcc address description","Emailadresse des Empfängers für Bcc"
"Vendor script url","URL für Benachrichtigungen"
"One click shopping","Kauf mit einem Klick"
"Novalnet Credit Card","Kredit- / Debitkarte"
"Novalnet Direct Debit SEPA","SEPA-Lastschrift"
"Novalnet Invoice","Rechnung"
"Novalnet Prepayment","Vorkasse"
"Novalnet Instant Bank Transfer","Sofortüberweisung"
"Novalnet PayPal","PayPal"
"Novalnet iDEAL","iDEAL"
"Novalnet Eps","eps"
"Novalnet Giropay","giropay"
"Novalnet Przelewy24","Przelewy24"
"Novalnet Instalment by Direct Debit SEPA","Ratenzahlung per SEPA-Lastschrift"
"Novalnet Instalment by Invoice","Ratenzahlung per Rechnung"
"Enable module","Zahlungsart anzeigen"
"Novalnet Title","Novalnet Titel *"
"Payment logo","Logo der Zahlungsart"
"Banktransfer payment description","Sie werden zu Sofortüberweisung weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"Ideal payment description","Sie werden zu iDEAL weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist."
"Eps payment description","Sie werden zu eps weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"Giropay payment description","Sie werden zu giropay weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"Paypal payment description","Sie werden zu PayPal weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"Przelewy payment description","Sie werden zu Przelewy24 weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"Browse logo to be displayed with the payment name","Das Logo der Zahlungsart wird auf der Checkout-Seite angezeigt."
"Enable 3D secure","3D-Secure aktivieren"
"CC-3D secure description","3D-Secure wird für Kreditkarten aktiviert. Die kartenausgebende Bank fragt vom Käufer ein Passwort ab, welches helfen soll, betrügerische Zahlungen zu verhindern. Dies kann von der kartenausgebenden Bank als Beweis verwendet werden, dass der Käufer tatsächlich der Inhaber der Kreditkarte ist. Damit soll das Risiko von Chargebacks verringert werden."
"Force 3D secure on predefined conditions","3D-Secure-Zahlungen unter vorgegebenen Bedingungen durchführen"
"Force 3D secure on predefined conditions description","Wenn 3D-Secure in dem darüberliegenden Feld nicht aktiviert ist&#44; sollen 3D-Secure-Zahlungen nach den Einstellungen zum Modul im Novalnet-Händleradministrationsportal ein unter &#34;3D-Secure-Zahlungen durchführen (gemäß vordefinierten Filtern und Einstellungen)&#34; durchgeführt werden.<br><br>Wenn die vordefinierten Filter und Einstellungen des Moduls &#34;3D-Secure durchführen&#34; zutreffen&#44; wird die Transaktion als 3D-Secure-Transaktion durchgeführt&#44; ansonsten als Nicht-3D-Secure-Transaktion.<br><br>Beachten Sie bitte&#44; dass das Modul &#34;3D-Secure-Zahlungen durchführen (gemäß vordefinierten Filtern und Einstellungen)&#34; im Novalnet-Händleradministrationsportal ein konfiguriert sein muss&#44; bevor es hier aktiviert wird.<br><br>Für weitere Informationen sehen Sie sich bitte die Beschreibung dieses Betrugsprüfungsmoduls an (unter dem Reiter &#34;Betrugsprüfungsmodule&#34; unterhalb des Menüpunkts &#34;Projekte&#34; für das ausgewähte Projekt im Novalnet-Händleradministrationsportal ein) oder kontaktieren Sie das Novalnet-Support-Team."
"Enforce 3D secure payment outside EU","3D-Secure-Zahlungen außerhalb der EU erzwingen"
"By enabling this option, all payments from cards issued outside the EU will be authenticated via 3DS 2.0 SCA.","Wenn Sie diese Option aktivieren, werden alle Zahlungen mit Karten, die außerhalb der EU ausgegeben wurden, mit der starken Kundenauthentifizierung (Strong Customer Authentication, SCA) von 3D-Secure 2.0 authentifiziert."
"Order completion status","Status für erfolgreichen Auftragsabschluss"
"Order status for the pending payment","Status für offene Zahlungen"
"The order has been updated.","Der Auftrag wurde aktualisiert."
"Novalnet Credit Card Types","Kreditkartentyp"
"Notification for the buyer","Benachrichtigung des Käufers"
"The entered text will be displayed on the checkout page","Der eingegebene Text wird auf der Checkout-Seite angezeigt."
"User Group Excluded","Ausgeschlossene Benutzergruppe"
"Payment from applicable countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific countries","Länderauswahl für Zahlungsmöglichkeit"
